text,frequency
원래,1
증축,1
정숙,1
들어서,1
까닭,1
소란,1
차지,1
강의,1
모의,1
토익,1
고서,1
좋아서,1
기관지,1
부럽,1
이바,1
능률,1
평판,1
이바지,1
대기,1
핸드폰,1
무선,1
충전기,1
동국대학교,1
멋있,1
실용,1
진짜,1
프린터,1
워드,1
엑셀,1
파워,1
포인트,1
복사기,1
수질,1
쇼파,1
연장,1
알람,1
정지,1
이상의,1
편리,1
멀티미디어,1
빌리,1
곳도,1
고등학교,1
완공,1
스페이스,1
건지,1
경비,1
아저씨,1
공용,1
엘리,1
컴퓨터실,1
프라이버시,1
지키,1
동의,1
한계,1
페이,1
한마디,1
따라가,1
옛날,1
배색,1
등받이,1
움직임,1
구매,1
요망,1
석면,1
과거,1
화력,1
발전소,1
세계,1
미술관,1
영국,1
테이,1
사례,1
중앙대,1
고려대,1
상위,1
이자,1
부끄럽,1
구림,1
곰팡이,1
홈페이지,1
저자,1
등록,1
대신,1
타월,1
건조기,1
반투명,1
나중,1
정관,1
통합,1
장소라,1
아래,1
사이트,1
나이,1
다비,1
이다,1
없어,1
휴게시설,1
중기,1
만족도,1
아이덴티티,1
메이킹,1
측면,1
인식,1
효과,1
정문,1
반응,1
제제,1
이면,1
지붕,1
테라스,1
아끼,1
교생,1
하나로,1
때려,1
습기,1
일으키,1
방문,1
예산,1
얼마,1
지적,1
방식,1
성균관대학교,1
인문,1
길목,1
폐지,1
앞두,1
계시,1
결정,1
출입,1
협찬,1
햇빛,1
발휘,1
구비,1
증가,1
프로젝트,1
급변,1
세월,1
산실,1
서가,1
분이,1
가도,1
헷갈리,1
기획,1
인기,1
걱정,1
기기,1
헤지,1
건너,1
연달,1
소도,1
줄이,1
여유,1
친화,1
개혁,1
전공,1
내용,1
약식,1
편입,1
키오스크,1
각층,1
도입,1
남은,1
대대적,1
학생증,1
맡기,1
불가,1
남다르,1
자랑거리,1
순위,1
뽑히,1
미개,1
광경,1
지정,1
단속,1
퇴장,1
조치,1
추가,1
개설,1
전통,1
더하,1
자르,1
정화,1
해주,1
식수,1
집어넣,1
한번,1
인간,1
지우개,1
가루,1
얼룩,1
지우,1
청소부,1
집중,1
움직이,1
패드,1
의무,1
방안,1
보완책,1
운영,1
관리자,1
방치,1
중심,1
떠오르,1
사랑,1
화이팅,1
독립,1
최신식,1
지상,1
이참,1
조선,1
경북대학교,1
최근,1
기타,1
생각하는 사람,1
역할,1
건조,1
서울시,1
뒤지,1
클래식,1
음악,1
북카페,1
좋아하,1
기웃거리,1
서점,1
현재,1
통과,1
기쁘,1
졸업,1
다목적,1
학문,1
도랑,1
출입구,1
주세,1
제공,1
신발,1
끌리,1
선택,1
기계,1
실행,1
고시반,1
이용석,1
일산,1
이나,1
보고,1
한쪽,1
양쪽,1
세미나,1
교회,1
광장,1
전달,1
미흡,1
잡히,1
이용법,1
숙지,1
시립,1
만도,1
현실,1
전문,1
자격증,1
각종,1
준비,1
배려,1
음식점,1
구식,1
파손,1
정조,1
퀘퀘,1
피로,1
색감,1
모던,1
고개,1
숙이,1
그림,1
자지,1
배열,1
접하,1
침대,1
서울시립대,1
칠판,1
발표,1
연습,1
혼자,1
구시,1
대적,1
멀티플렉스,1
창의력,1
마시,1
물질,1
넘치,1
무겁,1
최고,1
형성,1
우려,1
복합,1
문화,1
영화,1
관람,1
명사,1
초청,1
프로그램,1
참여,1
천장,1
거르,1
폐기,1
절대,1
초안,1
날짜,1
놓아두,1
장시간,1
보안,1
당일,1
활성,1
마지막,1
맞추,1
지침,1
응원,1
지출,1
밀폐,1
피우,1
연기,1
매우,1
외적,1
!!!,1
수압,1
조금,1
.ac,1
.kr,1
떠나,1
두통,1
시키,1
토론라운지,1
넘어가,1
사이즈,1
한적,1
시간대,1
확인,1
스트레스,1
효율,1
정하,1
신입생,1
보고서,1
긍정,1
이동,1
시급,1
B1,1
80년대,1
유일,1
나쁘,1
